,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs
11,events=1,0.0,,,,,
12,events=3,0.0,,,,,
13,events=7,0.0,,,,,
10,events=8,0.00010418810823401847,,,,,
9,events=0,0.0001567925296073173,,,,,
8,events=5,0.005566106388012357,,,,,
7,events=2,0.006705120860362367,,,,,
6,events=4,0.01928141341168757,,,,,
5,events=6,0.029150541958408525,,,,,
4,precipitation,0.04707480619993789,3.4354095458984375,-0.013037382601326036,0.19528212641593723,0.559206623901576,1.9430613592689614
3,cal_code,0.1478106161556186,0.24631544947624207,0.0,0.0,0.0,0.0
2,min_temp,0.1493805121857259,0.14776088297367096,4.705895440903749,-0.148432556952849,8.70772197099794,8.62020263826446
1,max_temp,0.20280291644242812,0.15514817833900452,12.30805561771393,-11.752077816765729,12.369381039099565,11.76638396801551
0,site_count,0.39196698575997735,0.19249416887760162,-23.69482035534771,13.54740089742202,25.651406904364414,14.946340486205557
